SBEm ID,cCacocical map
44,c104
44,c104
52,c125
175,c1L
234,c-
235,c-
267,c9R
367,cDE3L
373,c18L
373,c18L
373,c18
375,cRz
375,cRz
376,c- 
381,c
382,c-
387,c205L
388,c4L
389,c-
390,c206L
391,c-
393,c24L
393,c24L
393,c24L
393,c24L
393,c24L
393,c24L
393,c24L
393,c24L
395,c6L
395,c6L
395,c6L
398,c36
399,c
400,c7R
409,c29R
409,c29R
409,c29R
410,c13
414,c8R
415,c
415,c-
415,c-
418,c
418,c
418,c
418,c
423,canterior and posterior
427,c-
428,c
431,c5R
431,c5R
431,c5R
444,c-
445,c
449,c1L
470,c?
474,canterior and posterior
474,canterior and posterior
475,c153
480,c?
483,c101
487,c4R
489,c6L
490,c15 ? (or 15 is eq?)
491,c1R
493,c1R
493,c1R
493,c1R
493,c1R
493,c1R
493,c1R
493,c1R
493,c1R
493,c1R
493,c1R
493,c1R
495,c-
495,c-
495,c-
496,c-
500,c-
501,cE21-R
501,cE21-R
501,cE21-R
503,cDE3-L
503,cDE3-L
504,c25R
504,c25R
507,c102 R
507,c102 R
507,c102 R
507,c102 R
509,c2L
512,cHE L
512,cHE L
512,cHE L
514,c-
514,c-
514,c-
516,c10L 
516,c10L 
516,c10L 
516,c10L 
517,canterior and posterior
519,c10R
519,c10R
519,c10R
519,c10R
519,c10R
519,c10R
519,c10R
519,c10R
519,c10L 
519,c10L 
519,c10L 
519,c10L 
519,c10L 
520,c113
520,c113
520,c113
523,c
